participant_id,image_id,image_path,mask_id,mask_path,xmin,xmax,ymin,ymax,prompt_type,X,Y,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,best_label,scene_desc
2,1,data/images/1exp.jpg,0,outputs/masks_gaze_driven/best/IMG_1_exp_Part_2_MASK_0_cross_0.8931.png,434,502,552,589,cross,483.6,565,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,"1. Scene Overview: 
   The image depicts a multifunctional room combining a laundry area, workspace, and living space. The room is well-organized with a modern and clean aesthetic, featuring white cabinetry and furniture. A green rug adds a splash of color, and natural light enters through a window on the right.

2. Identified Objects:
   - Laundry Area:
     - Washing machine (bottom left)
     - Dryer (next to the washing machine)
     - Ironing board (right side, near the window)
     - Iron (on the counter above the washing machine)
   
   - Workspace:
     - White cabinets (upper section, spanning the width of the room)
     - Colorful thread spools (on shelves in the middle of the cabinets)
     - Books and binders (on shelves in the middle of the cabinets)
     - Desk lamp (on the desk, left side)
     - Sewing machine (on the desk, right side)
     - Black chair (in front of the desk)
     - Trash bins (under the desk, black and white)

   - Living Space:
     - White sofa (right side)
     - Cushions (on the sofa)
     - Blanket (draped over the sofa)
     - Coffee table (center, on the green rug)
     - Teapot and cups (on the coffee table)
     - Potted plant (on the coffee table)
     - Floor lamp (right side, near the window)
     - Potted plant (on the windowsill)

   - Decorative Elements:
     - Framed artwork (left wall)
     - Toys (on the floor, bottom left)
     - Slippers (on the floor, near the coffee table)"
3,1,data/images/1exp.jpg,0,outputs/masks_gaze_driven/best/IMG_1_exp_Part_3_MASK_0_cross_0.8244.png,5,69,473,503,cross,50,487.9,Toys,[Toys],Toys,Toys,Toys,[Toy],Toys,Toys,Toys,Toys,Toys,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized and features modern furniture and decor, with a focus on functionality and style.

2. Identified Objects:
   - Washing Machine: Located on the left side, beneath the countertop.
   - Dryer: Positioned next to the washing machine on the left.
   - Cabinets: White cabinets are mounted on the wall above the countertop.
   - Colorful Yarn Spools: Arranged on shelves in the middle of the cabinets.
   - Desk Area: Below the cabinets, featuring various office supplies.
   - Sewing Machine: Positioned on the right side of the desk.
   - Black Office Chair: In front of the desk.
   - Ironing Board: Standing upright to the right of the desk.
   - Table: A round white table in the foreground with items on top.
   - Teapot and Cups: On the table, with a plant and decorative items.
   - Sofa: On the right side, with cushions and a throw blanket.
   - Floor Lamp: Positioned near the sofa, with a black shade.
   - Potted Plant: On the windowsill to the right.
   - Rug: Green rug covering the floor area around the table and sofa.
   - Wall Art: Framed artwork on the left wall.
   - Laundry Basket: Black and white baskets under the desk.
   - Window: On the right side, allowing natural light into the room."
15,1,data/images/1exp.jpg,0,outputs/masks_gaze_driven/best/IMG_1_exp_Part_15_MASK_0_point_0.9743.png,81,574,477,599,point,427.7,516.5,Rug,Shoes,Rug,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized with a modern aesthetic, featuring white cabinetry and furniture, and a green rug that adds a touch of color.

2. Identified Objects:
   - Washing Machine: Located on the left side, beneath the countertop.
   - Dryer: Positioned next to the washing machine on the left.
   - Cabinets: White cabinets are mounted on the wall above the countertop.
   - Colorful Spools of Thread: Arranged on shelves within the cabinetry.
   - Desk Area: Situated in the middle, with various office supplies.
   - Sewing Machine: Placed on the desk area.
   - Black Office Chair: Positioned in front of the desk.
   - Ironing Board: Standing upright to the right of the desk.
   - Table Lamp: Black, adjustable lamp on the right side near the window.
   - Potted Plant: Located on the windowsill to the right.
   - White Sofa: Positioned on the right side of the room.
   - Cushions and Blanket: On the sofa, adding comfort and style.
   - Round Coffee Table: In front of the sofa, on the green rug.
   - Teapot and Cups: On the coffee table, suggesting a tea setup.
   - Slippers: On the floor near the coffee table.
   - Wall Art: Framed picture on the left wall.
   - Laundry Baskets: Black and white baskets under the desk area.
   - Children’s Toys: On the floor near the washing machine."
15,1,data/images/1exp.jpg,1,outputs/masks_gaze_driven/best/IMG_1_exp_Part_15_MASK_1_point_0.9762.png,82,574,477,599,point,460.4,540.7,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized with a modern aesthetic, featuring white cabinetry and furniture, and a green rug that adds a touch of color.

2. Identified Objects:
   - Washing Machine: Located on the left side, beneath the countertop.
   - Dryer: Positioned next to the washing machine on the left.
   - Cabinets: White cabinets are mounted on the wall above the countertop.
   - Colorful Spools of Thread: Arranged on shelves within the cabinetry.
   - Desk Area: Situated in the middle, with various office supplies.
   - Sewing Machine: Placed on the desk area.
   - Black Office Chair: Positioned in front of the desk.
   - Ironing Board: Standing upright to the right of the desk.
   - Table Lamp: Black, adjustable lamp on the right side near the window.
   - Potted Plant: Located on the windowsill to the right.
   - White Sofa: Positioned on the right side of the room.
   - Cushions and Blanket: On the sofa, adding comfort and style.
   - Round Coffee Table: In front of the sofa, on the green rug.
   - Teapot and Cups: On the coffee table, suggesting a tea setup.
   - Slippers: On the floor near the coffee table.
   - Wall Art: Framed picture on the left wall.
   - Laundry Baskets: Black and white baskets under the desk area.
   - Children’s Toys: On the floor near the washing machine."
15,1,data/images/1exp.jpg,2,outputs/masks_gaze_driven/best/IMG_1_exp_Part_15_MASK_2_cross_0.8818.png,434,502,551,589,cross,467.2,560.9,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized with a modern aesthetic, featuring white cabinetry and furniture, and a green rug that adds a touch of color.

2. Identified Objects:
   - Washing Machine: Located on the left side, beneath the countertop.
   - Dryer: Positioned next to the washing machine on the left.
   - Cabinets: White cabinets are mounted on the wall above the countertop.
   - Colorful Spools of Thread: Arranged on shelves within the cabinetry.
   - Desk Area: Situated in the middle, with various office supplies.
   - Sewing Machine: Placed on the desk area.
   - Black Office Chair: Positioned in front of the desk.
   - Ironing Board: Standing upright to the right of the desk.
   - Table Lamp: Black, adjustable lamp on the right side near the window.
   - Potted Plant: Located on the windowsill to the right.
   - White Sofa: Positioned on the right side of the room.
   - Cushions and Blanket: On the sofa, adding comfort and style.
   - Round Coffee Table: In front of the sofa, on the green rug.
   - Teapot and Cups: On the coffee table, suggesting a tea setup.
   - Slippers: On the floor near the coffee table.
   - Wall Art: Framed picture on the left wall.
   - Laundry Baskets: Black and white baskets under the desk area.
   - Children’s Toys: On the floor near the washing machine."
20,1,data/images/1exp.jpg,0,outputs/masks_gaze_driven/best/IMG_1_exp_Part_20_MASK_0_circle_0.8091.png,434,502,551,589,circle,446.5,557.1,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized with a modern and clean aesthetic, featuring white cabinetry and furniture, and a green rug that adds a touch of color.

2. Identified Objects:
   - Washing Machine: Located on the left side, beneath the countertop.
   - Dryer: Positioned next to the washing machine on the left.
   - Cabinets: White cabinets are mounted on the wall above the countertop.
   - Colorful Spools: Arranged on shelves in the middle of the cabinets.
   - Desk Area: Situated under the cabinets, featuring various office supplies.
   - Chair: A black chair is placed in front of the desk area.
   - Ironing Board: Positioned vertically on the right side near the window.
   - Lamp: A black desk lamp is on the right side, near the window.
   - Potted Plant: Located on the windowsill on the right.
   - Sofa: A white sofa is on the right side of the image, with cushions and a blanket.
   - Coffee Table: A round white table in front of the sofa, with a teapot, cups, and a small plant.
   - Rug: A green rug is under the coffee table and sofa area.
   - Wall Art: A framed piece of art is hanging on the left wall.
   - Laundry Basket: A black and a white laundry basket are under the desk area.
   - Toys: A few small toys are on the floor near the washing machine."
20,1,data/images/1exp.jpg,1,outputs/masks_gaze_driven/best/IMG_1_exp_Part_20_MASK_1_point_0.8915.png,36,69,485,503,point,43.5,498.3,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized with a modern and clean aesthetic, featuring white cabinetry and furniture, and a green rug that adds a touch of color.

2. Identified Objects:
   - Washing Machine: Located on the left side, beneath the countertop.
   - Dryer: Positioned next to the washing machine on the left.
   - Cabinets: White cabinets are mounted on the wall above the countertop.
   - Colorful Spools: Arranged on shelves in the middle of the cabinets.
   - Desk Area: Situated under the cabinets, featuring various office supplies.
   - Chair: A black chair is placed in front of the desk area.
   - Ironing Board: Positioned vertically on the right side near the window.
   - Lamp: A black desk lamp is on the right side, near the window.
   - Potted Plant: Located on the windowsill on the right.
   - Sofa: A white sofa is on the right side of the image, with cushions and a blanket.
   - Coffee Table: A round white table in front of the sofa, with a teapot, cups, and a small plant.
   - Rug: A green rug is under the coffee table and sofa area.
   - Wall Art: A framed piece of art is hanging on the left wall.
   - Laundry Basket: A black and a white laundry basket are under the desk area.
   - Toys: A few small toys are on the floor near the washing machine."
21,1,data/images/1exp.jpg,0,outputs/masks_gaze_driven/best/IMG_1_exp_Part_21_MASK_0_triangle_0.8527.png,434,502,551,589,triangle,452.5,569.6,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,Shoes,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized and features modern furniture and decor, with a focus on functionality and style.

2. Identified Objects:
   - Laundry Area (left side):
     - Washing machine (bottom left)
     - Dryer (next to the washing machine)
     - Iron and ironing board (right of the dryer)
   
   - Workspace (center):
     - White cabinets (above the desk)
     - Colorful spools of thread (on the shelves)
     - Books and decorative items (on the shelves)
     - Desk with various office supplies (below the shelves)
     - Sewing machine (on the desk)
     - Black office chair (in front of the desk)
   
   - Living Space (right side):
     - White sofa with cushions (right side)
     - Floor lamp (next to the sofa)
     - Coffee table with a plant and tea set (in front of the sofa)
     - Green rug (under the coffee table)
     - Window with potted plant (behind the sofa)
   
   - Decorative Elements:
     - Framed artwork (on the wall to the left)
     - Various decorative items on shelves and table

The room is bright and airy, with natural light coming through the window, enhancing the overall ambiance."
21,1,data/images/1exp.jpg,1,outputs/masks_gaze_driven/best/IMG_1_exp_Part_21_MASK_1_cross_0.8299.png,434,480,561,590,cross,458.9,585.5,Shoe,Shoe,Shoe,Shoe,Shoe,Shoe,Shoe,Shoe,Shoe,Shoe,Shoe,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized and features modern furniture and decor, with a focus on functionality and style.

2. Identified Objects:
   - Laundry Area (left side):
     - Washing machine (bottom left)
     - Dryer (next to the washing machine)
     - Iron and ironing board (right of the dryer)
   
   - Workspace (center):
     - White cabinets (above the desk)
     - Colorful spools of thread (on the shelves)
     - Books and decorative items (on the shelves)
     - Desk with various office supplies (below the shelves)
     - Sewing machine (on the desk)
     - Black office chair (in front of the desk)
   
   - Living Space (right side):
     - White sofa with cushions (right side)
     - Floor lamp (next to the sofa)
     - Coffee table with a plant and tea set (in front of the sofa)
     - Green rug (under the coffee table)
     - Window with potted plant (behind the sofa)
   
   - Decorative Elements:
     - Framed artwork (on the wall to the left)
     - Various decorative items on shelves and table

The room is bright and airy, with natural light coming through the window, enhancing the overall ambiance."
21,1,data/images/1exp.jpg,2,outputs/masks_gaze_driven/best/IMG_1_exp_Part_21_MASK_2_point_0.8905.png,36,69,485,503,point,56.4,503.6,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,"1. Scene Overview: 
   The image depicts a multifunctional room that combines elements of a laundry area, workspace, and living space. The room is well-organized and features modern furniture and decor, with a focus on functionality and style.

2. Identified Objects:
   - Laundry Area (left side):
     - Washing machine (bottom left)
     - Dryer (next to the washing machine)
     - Iron and ironing board (right of the dryer)
   
   - Workspace (center):
     - White cabinets (above the desk)
     - Colorful spools of thread (on the shelves)
     - Books and decorative items (on the shelves)
     - Desk with various office supplies (below the shelves)
     - Sewing machine (on the desk)
     - Black office chair (in front of the desk)
   
   - Living Space (right side):
     - White sofa with cushions (right side)
     - Floor lamp (next to the sofa)
     - Coffee table with a plant and tea set (in front of the sofa)
     - Green rug (under the coffee table)
     - Window with potted plant (behind the sofa)
   
   - Decorative Elements:
     - Framed artwork (on the wall to the left)
     - Various decorative items on shelves and table

The room is bright and airy, with natural light coming through the window, enhancing the overall ambiance."
