participant_id,image_id,image_path,mask_id,mask_path,xmin,xmax,ymin,ymax,prompt_type,X,Y,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,best_label,scene_desc
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,1,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_1_point_0.7944.png,176,269,285,338,point,211.0,317.6,[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,9,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_9_point_0.9347.png,0,30,384,431,point,0.7,405.3,Poster,Poster,Poster,Poster,Poster,Poster,Poster,Poster,Poster,Poster,Poster,"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,6,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_6_point_0.9552.png,650,724,356,439,point,696.1,380.9,Pillow,Pillow,Pillow,Pillow,Pillow,Pillow,Pillow,Pillow,Pillow,Pillow,Pillow,"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,10,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_10_point_0.7605.png,401,447,362,410,point,402.7,386.6,Plant,Plant,Plant,Plant,Plant,Plant,Plant,Plant,Plant,Plant,Plant,"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,14,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_14_point_0.8283.png,114,192,213,346,point,167.8,314.7,[Bird],[Bird],[Bread],[Bird],Bird,[Bird],[Bird],Bird,[Bird],[Bird],[Bird],"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,5,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_5_point_0.6552.png,771,799,354,415,point,774.6,382.6,[Tree],[Tree],[Giraffe],Reindeer,Reindeer,[Tree],[Tree],Reindeer,[Giraffe],[Tree],[Tree],"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,13,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_13_cross_0.2481.png,175,269,284,338,cross,197.4,315.7,[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Giraffe],[Deer],[Giraffe],Giraffe,Faucet,[Giraffe],"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,3,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_3_point_0.8338.png,470,488,415,429,point,481.9,420.4,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,12,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_12_point_0.8906.png,208,269,285,338,point,220.2,332.2,Giraffe,Giraffe,Giraffe,Giraffe,Giraffe,Giraffe,[Giraffe],Giraffe,[Giraffe],[Giraffe],Giraffe,"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
6,2,/Users/162191/Documents/GitHub/human_patterns_exploration/data/images/2unexp.jpg,11,/Users/162191/Documents/GitHub/human_patterns_exploration/outputs/masks_gaze_driven/best/IMG_2_unexp_Part_6_MASK_11_point_0.7963.png,254,273,320,373,point,262.2,361.4,[Plant],Flowers,[Plant],Plant,Flowers,Flowers,Plant,[Plant],Flowers,Flowers,Flowers,"1. Scene Overview: 
   The image depicts a bright and airy living room with a predominantly white color scheme. The room is well-lit, featuring a large window that allows natural light to flood the space. The decor is minimalist with a touch of elegance, highlighted by a chandelier and a piece of artwork on the wall.

2. Identified Objects:
   - Sofa: Positioned on the right side of the room, adorned with several cushions in white and dark colors.
   - Coffee Table: In front of the sofa, featuring a white lattice design, with a bowl of fruit and a small plant on top.
   - Chandelier: Hanging from the ceiling in the center of the room.
   - Artwork: A painting or print on the wall above the sofa, depicting two hands reaching towards each other.
   - Armchair: Located to the left of the sofa, near the window, with a dark fabric cover.
   - Window: On the left wall, allowing natural light into the room.
   - Radiator: Below the window.
   - Side Table: To the left of the window, holding a lamp and some books.
   - Lamp: On the side table, with a white shade.
   - Plant: A potted plant on the floor near the armchair.
   - Floor Lamp: On the right side of the sofa, with a white shade.
   - Rug: A white rug on the floor in front of the sofa.
   - Books/Magazines: On the table to the right, partially visible."
